"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2007","2007","May, 2007","2007/05",199703,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2007","2007","Jun., 2007","2007/06",188207,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2007","2007","Jul., 2007","2007/07",192327,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2007","2007","Aug., 2007","2007/08",191759,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2007","2007","Sep., 2007","2007/09",188466,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2007","2007","Oct., 2007","2007/10",198633,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2007","2007","Nov., 2007","2007/11",200136,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2007","2007","Dec., 2007","2007/12",216618,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2007","2007",,,2423712,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.3%
,"2008","2008","Jan., 2008","2008/01",223909,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2008","2008","Feb., 2008","2008/02",223441,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2008","2008","Mar., 2008","2008/03",232715,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2008","2008","Apr., 2008","2008/04",206801,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2008","2008","May, 2008","2008/05",202428,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2008","2008","Jun., 2008","2008/06",190594,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2008","2008","Jul., 2008","2008/07",191990,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2008","2008","Aug., 2008","2008/08",191929,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2008","2008","Sep., 2008","2008/09",187781,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2008","2008","Oct., 2008","2008/10",200535,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2008","2008","Nov., 2008","2008/11",201557,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2008","2008","Dec., 2008","2008/12",218304,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2008","2008",,,2471984,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.4%
,"2009","2009","Jan., 2009","2009/01",222962,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2009","2009","Feb., 2009","2009/02",200429,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2009","2009","Mar., 2009","2009/03",216167,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2009","2009","Apr., 2009","2009/04",202955,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2009","2009","May, 2009","2009/05",200461,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2009","2009","Jun., 2009","2009/06",190946,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2009","2009","Jul., 2009","2009/07",194584,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2009","2009","Aug., 2009","2009/08",192483,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2009","2009","Sep., 2009","2009/09",189714,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2009","2009","Oct., 2009","2009/10",207291,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2009","2009","Nov., 2009","2009/11",201347,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2009","2009","Dec., 2009","2009/12",217824,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2009","2009",,,2437163,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.3%
,"2010","2010","Jan., 2010","2010/01",222783,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2010","2010","Feb., 2010","2010/02",200226,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2010","2010","Mar., 2010","2010/03",218934,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2010","2010","Apr., 2010","2010/04",202287,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2010","2010","May, 2010","2010/05",203927,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2010","2010","Jun., 2010","2010/06",192477,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2010","2010","Jul., 2010","2010/07",198971,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2010","2010","Aug., 2010","2010/08",196906,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2010","2010","Sep., 2010","2010/09",193129,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2010","2010","Oct., 2010","2010/10",206851,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2010","2010","Nov., 2010","2010/11",206128,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2010","2010","Dec., 2010","2010/12",225816,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
